Date,Month,Year,Product Name,Category,Sales Quantity,Sales Revenue ($),Margin ($)
2023-04-01,4,2023,Echo Dot,Electronics,260,240000,96000
2023-04-01,4,2023,Kindle Paperwhite,Electronics,140,110000,44000
2023-04-01,4,2023,Fire TV Stick,Electronics,110,80000,32000
2023-04-01,4,2023,Gaming Laptop,Computers,260,240000,96000
2023-04-01,4,2023,Ultrabook,Computers,210,190000,76000
2023-04-01,4,2023,Chromebook,Computers,140,130000,52000
2023-04-01,4,2023,Wireless Mouse,Accessories,420,84000,33600
2023-04-01,4,2023,Mechanical Keyboard,Accessories,370,74000,29600
2023-04-01,4,2023,Gaming Headset,Accessories,320,64000,25600
2023-03-01,3,2023,Echo Dot,Electronics,240,220000,88000
2023-03-01,3,2023,Kindle Paperwhite,Electronics,130,100000,40000
2023-03-01,3,2023,Fire TV Stick,Electronics,100,70000,28000
2023-03-01,3,2023,Gaming Laptop,Computers,250,230000,92000
2023-03-01,3,2023,Ultrabook,Computers,200,180000,72000
2023-03-01,3,2023,Chromebook,Computers,130,120000,48000
2023-03-01,3,2023,Wireless Mouse,Accessories,400,80000,32000
2023-03-01,3,2023,Mechanical Keyboard,Accessories,350,70000,28000
2023-03-01,3,2023,Gaming Headset,Accessories,300,60000,24000
2022-04-01,4,2022,Echo Dot,Electronics,240,220000,88000
2022-04-01,4,2022,Kindle Paperwhite,Electronics,130,100000,40000
2022-04-01,4,2022,Fire TV Stick,Electronics,100,70000,28000
2022-04-01,4,2022,Gaming Laptop,Computers,240,220000,88000
2022-04-01,4,2022,Ultrabook,Computers,190,170000,68000
2022-04-01,4,2022,Chromebook,Computers,120,110000,44000
2022-04-01,4,2022,Wireless Mouse,Accessories,400,80000,32000
2022-04-01,4,2022,Mechanical Keyboard,Accessories,350,70000,28000
2022-04-01,4,2022,Gaming Headset,Accessories,300,60000,24000
2022-05-01,5,2022,Echo Dot,Electronics,260,240000,96000
2022-05-01,5,2022,Kindle Paperwhite,Electronics,140,120000,48000
2022-05-01,5,2022,Fire TV Stick,Electronics,110,80000,32000
2022-05-01,5,2022,Gaming Laptop,Computers,250,230000,92000
2022-05-01,5,2022,Ultrabook,Computers,200,180000,72000
2022-05-01,5,2022,Chromebook,Computers,130,120000,48000
2022-05-01,5,2022,Wireless Mouse,Accessories,420,84000,33600
2022-05-01,5,2022,Mechanical Keyboard,Accessories,370,74000,29600
2022-05-01,5,2022,Gaming Headset,Accessories,320,64000,25600
2022-06-01,6,2022,Echo Dot,Electronics,280,250000,100000
2022-06-01,6,2022,Kindle Paperwhite,Electronics,150,130000,52000
2022-06-01,6,2022,Fire TV Stick,Electronics,120,90000,36000
2022-06-01,6,2022,Gaming Laptop,Computers,260,240000,96000
2022-06-01,6,2022,Ultrabook,Computers,210,190000,76000
2022-06-01,6,2022,Chromebook,Computers,140,130000,52000
2022-06-01,6,2022,Wireless Mouse,Accessories,440,88000,35200
2022-06-01,6,2022,Mechanical Keyboard,Accessories,390,78000,31200
2022-06-01,6,2022,Gaming Headset,Accessories,340,68000,27200
2022-07-01,7,2022,Echo Dot,Electronics,290,260000,104000
2022-07-01,7,2022,Kindle Paperwhite,Electronics,160,140000,56000
2022-07-01,7,2022,Fire TV Stick,Electronics,130,100000,40000
2022-07-01,7,2022,Gaming Laptop,Computers,270,250000,100000
2022-07-01,7,2022,Ultrabook,Computers,220,200000,80000
2022-07-01,7,2022,Chromebook,Computers,150,140000,56000
2022-07-01,7,2022,Wireless Mouse,Accessories,460,92000,36800
2022-07-01,7,2022,Mechanical Keyboard,Accessories,410,82000,32800
2022-07-01,7,2022,Gaming Headset,Accessories,360,72000,28800
2022-03-01,3,2022,Echo Dot,Electronics,220,200000,80000
2022-03-01,3,2022,Kindle Paperwhite,Electronics,120,90000,36000
2022-03-01,3,2022,Fire TV Stick,Electronics,90,60000,24000
2022-03-01,3,2022,Gaming Laptop,Computers,230,210000,84000
2022-03-01,3,2022,Ultrabook,Computers,180,160000,64000
2022-03-01,3,2022,Chromebook,Computers,110,100000,40000
2022-03-01,3,2022,Wireless Mouse,Accessories,380,76000,30400
2022-03-01,3,2022,Mechanical Keyboard,Accessories,330,66000,26400
2022-03-01,3,2022,Gaming Headset,Accessories,280,56000,22400
